SubPc measured by Andreas at some point
wavelength	n	k
927	2.0353	0.0
928	2.0351	0.0
929	2.0348	0.0
930	2.0345	0.0
931	2.0343	0.0
932	2.034	0.0
933	2.0338	0.0
934	2.0335	0.0
935	2.0333	0.0
936	2.033	0.0
937	2.0327	0.0
938	2.0325	0.0
939	2.0322	0.0
940	2.032	0.0
941	2.0318	0.0
942	2.0315	0.0
943	2.0313	0.0
944	2.031	0.0
945	2.0308	0.0
946	2.0306	0.0
947	2.0303	0.0
948	2.0301	0.0
949	2.0299	0.0
950	2.0296	0.0
951	2.0294	0.0
952	2.0292	0.0
953	2.0289	0.0
954	2.0287	0.0
955	2.0285	0.0
956	2.0283	0.0
957	2.028	0.0
958	2.0278	0.0
959	2.0276	0.0
960	2.0274	0.0
961	2.0272	0.0
962	2.0269	0.0
963	2.0267	0.0
964	2.0265	0.0
965	2.0263	0.0
966	2.0261	0.0
967	2.0259	0.0
968	2.0257	0.0
969	2.0255	0.0
970	2.0253	0.0
971	2.0251	0.0
972	2.0249	0.0
973	2.0247	0.0
974	2.0245	0.0
975	2.0243	0.0
976	2.0241	0.0
977	2.0239	0.0
978	2.0237	0.0
979	2.0235	0.0
980	2.0233	0.0
981	2.0231	0.0
982	2.0229	0.0
983	2.0227	0.0
984	2.0225	0.0
985	2.0223	0.0
986	2.0221	0.0
987	2.0219	0.0
988	2.0218	0.0
989	2.0216	0.0
990	2.0214	0.0
991	2.0212	0.0
992	2.021	0.0
993	2.0208	0.0
994	2.0207	0.0
995	2.0205	0.0
996	2.0203	0.0
997	2.0201	0.0
998	2.02	0.0
999	2.0198	0.0
1000	2.0196	0.0
