Opt. Const. of PFOGlassy vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
401.399994	2.106095	0.557055	1.800379	0.312047
401.700012	2.112862	0.550157	1.804351	0.309414
402	2.11964	0.5433	1.808319	0.306794
402.299988	2.125859	0.535589	1.812064	0.303738
402.600006	2.132099	0.527918	1.815808	0.300695
402.899994	2.138357	0.520287	1.819552	0.297664
403.200012	2.14412	0.512154	1.823112	0.294391
403.5	2.149653	0.503787	1.826582	0.291003
403.799988	2.155213	0.495457	1.830054	0.287627
404.100006	2.160496	0.486948	1.833424	0.284155
404.399994	2.165205	0.47804	1.836592	0.280479
404.700012	2.169948	0.469164	1.839763	0.276815
405	2.174723	0.46032	1.842938	0.273163
405.299988	2.178531	0.451017	1.845789	0.269251
405.600006	2.182378	0.441739	1.848644	0.26535
405.899994	2.186262	0.432487	1.851506	0.26146
406.200012	2.189474	0.42308	1.854147	0.257432
406.5	2.192372	0.413602	1.856683	0.253341
406.799988	2.195309	0.404142	1.859225	0.24926
407.100006	2.197953	0.394691	1.861663	0.245129
407.399994	2.199969	0.385236	1.863886	0.240889
407.700012	2.202026	0.375791	1.866117	0.236657
408	2.204123	0.366358	1.868356	0.232435
408.299988	2.205492	0.357052	1.870286	0.228063
408.600006	2.2069	0.347752	1.872225	0.223698
408.899994	2.208347	0.338458	1.874174	0.219342
409.200012	2.209443	0.32914	1.875919	0.214891
409.5	2.210383	0.31981	1.877569	0.210395
409.799988	2.211362	0.310483	1.879228	0.205905
410.100006	2.212152	0.301072	1.880788	0.201373
410.399994	2.212526	0.29149	1.882138	0.196745
410.700012	2.212941	0.281905	1.883499	0.192123
411	2.213397	0.272319	1.884871	0.187506
411.299988	2.212857	0.262459	1.885903	0.182747
411.600006	2.212361	0.252588	1.886948	0.177993
411.899994	2.211907	0.242709	1.888004	0.173242
412.200012	2.210662	0.232851	1.888819	0.168401
412.5	2.209041	0.222991	1.889519	0.163515
412.799988	2.207461	0.213113	1.890232	0.158631
413.100006	2.205505	0.203341	1.890816	0.153704
413.399994	2.20275	0.193795	1.89113	0.148686
413.700012	2.200032	0.184221	1.891457	0.143669
414	2.19735	0.174621	1.891797	0.138652
414.299988	2.193564	0.165626	1.891645	0.133511
414.600006	2.189806	0.156598	1.891507	0.128369
414.899994	2.186077	0.147537	1.891383	0.123224
415.200012	2.181711	0.139	1.890867	0.118059
415.5	2.177033	0.130705	1.890163	0.11288
415.799988	2.172374	0.122373	1.889472	0.107697
416.100006	2.16747	0.114347	1.888582	0.102545
416.399994	2.162045	0.106966	1.887279	0.097459
416.700012	2.156631	0.099547	1.885988	0.092365
417	2.151227	0.092091	1.88471	0.087264
417.299988	2.145287	0.085714	1.882813	0.082395
