Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
1635.894165	1.574896	0.00160
1639.371826	1.574888	0.00159
1642.850342	1.574880	0.00159
1646.329346	1.574872	0.00159
1649.808960	1.574864	0.00158
1653.289063	1.574856	0.00158
1656.769897	1.574848	0.00158
1660.251221	1.574840	0.00157
1663.733154	1.574833	0.00157
1667.215820	1.574825	0.00157
1670.698853	1.574817	0.00156
1674.182617	1.574810	0.00156
1677.666992	1.574802	0.00156
1681.151978	1.574795	0.00155
1684.637451	1.574787	0.00155
1688.123413	1.574780	0.00155
