Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
386	1.552015	0.207131	1.775508	1.250206	1.568335	0.202314
387	1.556719	0.208899	1.800884	1.247841	1.572458	0.203944
388	1.561392	0.210632	1.824984	1.245297	1.576586	0.205736
389	1.566057	0.212346	1.847848	1.242678	1.580789	0.207737
390	1.570789	0.214075	1.87023	1.24036	1.585157	0.209992
391	1.575677	0.215859	1.893171	1.23885	1.589806	0.212538
392	1.580812	0.217738	1.917635	1.238647	1.594913	0.215394
393	1.586278	0.219748	1.944508	1.240238	1.60072	0.218447
394	1.592154	0.221901	1.974474	1.243866	1.60734	0.221471
395	1.598513	0.224055	2.007396	1.248384	1.614807	0.224258
396	1.605421	0.226016	2.042869	1.2522	1.623103	0.226615
397	1.612938	0.227599	2.080551	1.253847	1.632179	0.228363
398	1.621124	0.228628	2.120172	1.251984	1.641959	0.229342
399	1.630008	0.228947	2.161503	1.245487	1.652343	0.229404
400	1.639437	0.228464	2.204155	1.234098	1.663209	0.228415
401	1.649183	0.22712	2.247688	1.217916	1.674416	0.226255
402	1.659034	0.22486	2.291727	1.197014	1.6858	0.222814
403	1.668786	0.221629	2.335946	1.171443	1.69717	0.217996
404	1.678254	0.21738	2.380016	1.141245	1.708294	0.211713
405	1.687294	0.212123	2.422819	1.106688	1.718845	0.203902
406	1.695799	0.205912	2.462695	1.068104	1.72841	0.194709
407	1.703665	0.198795	2.498054	1.025663	1.736761	0.184423
408	1.710795	0.190815	2.527375	0.979375	1.74378	0.173309
409	1.717096	0.18201	2.549198	0.929093	1.749401	0.161606
410	1.722475	0.1725	2.562969	0.875331	1.753597	0.149537
411	1.726837	0.162548	2.569606	0.819988	1.756364	0.13731
412	1.730082	0.152421	2.569955	0.765129	1.757721	0.125122
413	1.732106	0.142373	2.564651	0.712873	1.757707	0.113163
414	1.7328	0.132646	2.554143	0.6654	1.75638	0.101616
415	1.732085	0.123455	2.538788	0.624651	1.753818	0.090662
416	1.730108	0.114891	2.519315	0.590408	1.750122	0.080479
417	1.727112	0.106991	2.496705	0.561561	1.745428	0.071244
418	1.72333	0.0998	2.472024	0.537058	1.739915	0.063136
419	1.718991	0.093366	2.446405	0.515883	1.733868	0.056314
420	1.71432	0.087743	2.42104	0.497047	1.727641	0.050751
421	1.709493	0.083	2.396916	0.480224	1.721455	0.046315
422	1.704588	0.079235	2.374466	0.466563	1.715464	0.042881
423	1.699672	0.076551	2.354042	0.457426	1.709783	0.040326
424	1.69481	0.075051	2.335996	0.454165	1.704501	0.03853
425	1.690066	0.074833	2.320708	0.458104	1.699685	0.037375
426	1.685514	0.075989	2.308625	0.470435	1.695385	0.036743
427	1.681385	0.078372	2.300673	0.489895	1.691633	0.036519
428	1.678097	0.08156	2.298197	0.512331	1.688447	0.036589
429	1.676066	0.085114	2.302358	0.533458	1.685826	0.036842
430	1.675694	0.088601	2.314083	0.549139	1.683759	0.037169
431	1.677364	0.091597	2.33414	0.555515	1.682214	0.037462
432	1.681411	0.093698	2.363151	0.549265	1.681141	0.037617
433	1.687571	0.094669	2.399246	0.530697	1.680466	0.037536
434	1.695017	0.094446	2.438221	0.503289	1.680062	0.037135
435	1.702929	0.092977	2.476023	0.470255	1.679793	0.036426
436	1.710527	0.090213	2.508773	0.434328	1.679576	0.035444
437	1.717068	0.086105	2.532689	0.397791	1.679355	0.034227
438	1.721853	0.080596	2.544079	0.362521	1.679089	0.032809
439	1.724623	0.073819	2.542002	0.329191	1.678745	0.031225
440	1.725643	0.066145	2.529014	0.297281	1.678298	0.029506
441	1.725198	0.057954	2.507774	0.266368	1.677732	0.027684
442	1.723555	0.049612	2.480891	0.236166	1.677033	0.025791
443	1.720965	0.041485	2.450978	0.206516	1.676192	0.023855
444	1.717666	0.033932	2.420701	0.177373	1.675207	0.021906
445	1.713867	0.027219	2.392147	0.148903	1.674075	0.019971
446	1.709731	0.02135	2.365697	0.121604	1.672801	0.018078
447	1.705408	0.016291	2.341416	0.096032	1.671394	0.016252
448	1.701051	0.012009	2.319345	0.072752	1.669863	0.014521
449	1.696808	0.008477	2.299503	0.052327	1.668231	0.01291
450	1.692828	0.005666	2.281891	0.035312	1.666528	0.011438
451	1.689245	0.003544	2.266479	0.022193	1.664788	0.010102
452	1.686061	0.002035	2.253021	0.012794	1.663032	0.008894
453	1.683192	0.001032	2.241148	0.00651	1.661274	0.007805
454	1.680558	0.00043	2.23051	0.00272	1.659526	0.006828
455	1.67808	0.000125	2.22077	0.000791	1.657797	0.005954
456	1.67568	0.000015	2.2116	0.000094	1.656095	0.005177
457	1.673283	0	2.202678	0	1.654425	0.004488
458	1.670835	0	2.193761	0	1.652793	0.003881
459	1.66836	0	2.184869	0	1.651203	0.003348
460	1.665896	0	2.176084	0	1.649658	0.002883
461	1.663482	0	2.167485	0	1.64816	0.002477
462	1.661155	0	2.159149	0	1.646711	0.002126
463	1.658954	0	2.151157	0	1.645312	0.001822
464	1.656912	0	2.143585	0	1.643963	0.001558
465	1.65505	0	2.136473	0	1.642663	0.001329
466	1.653347	0	2.12978	0	1.641411	0.001129
467	1.651776	0	2.123454	0	1.640203	0.000951
468	1.650313	0	2.117444	0	1.639035	0.000793
469	1.648934	0	2.111698	0	1.637905	0.000655
470	1.647614	0	2.106167	0	1.636809	0.000534
471	1.646329	0	2.100801	0	1.635748	0.000429
472	1.645065	0	2.095563	0	1.63472	0.000339
473	1.643821	0	2.090451	0	1.633724	0.000263
474	1.642602	0	2.085468	0	1.632758	0.0002
475	1.641412	0	2.080616	0	1.631823	0.000147
476	1.640256	0	2.075897	0	1.630916	0.000105
477	1.639137	0	2.071316	0	1.630037	0.000072
478	1.638059	0	2.066875	0	1.629186	0.000047
479	1.637025	0	2.062572	0	1.628361	0.000029
480	1.636031	0	2.058392	0	1.627562	0.000016
481	1.63507	0	2.05431	0	1.626787	0.000008
482	1.634138	0	2.050305	0	1.626036	0.000003
483	1.633229	0	2.046353	0	1.625307	0.000001
484	1.632335	0	2.042433	0	1.6246	0
485	1.631453	0	2.038523	0	1.623914	0
486	1.630577	0	2.034604	0	1.623245	0
487	1.629704	0	2.030677	0	1.622595	0
488	1.628842	0	2.026783	0	1.62196	0
489	1.627993	0	2.02296	0	1.621341	0
490	1.627163	0	2.019248	0	1.620736	0
491	1.626358	0	2.015687	0	1.620145	0
492	1.625581	0	2.012314	0	1.619567	0
493	1.624837	0	2.009167	0	1.619002	0
494	1.62413	0	2.006278	0	1.618449	0
495	1.623458	0	2.003619	0	1.617908	0
496	1.622816	0	2.001122	0	1.617378	0
497	1.622197	0	1.998719	0	1.616858	0
498	1.621596	0	1.996343	0	1.616349	0
