Opt. Const. of PFOGlassy0Vol% vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
482	1.75273	0	1.655225	0
483	1.751257	0	1.6544	0
484	1.749814	0	1.653592	0
485	1.748399	0	1.652799	0
486	1.747011	0	1.652022	0
487	1.74565	0	1.65126	0
488	1.744315	0	1.650512	0
489	1.743005	0	1.649778	0
490	1.74172	0	1.649058	0
491	1.740458	0	1.648351	0
492	1.739218	0	1.647657	0
493	1.738002	0	1.646975	0
494	1.736806	0	1.646305	0
495	1.735632	0	1.645647	0
496	1.734478	0	1.645	0
497	1.733344	0	1.644364	0
498	1.73223	0	1.643739	0
499	1.731134	0	1.643124	0
500	1.730057	0	1.64252	0
501	1.728997	0	1.641925	0
502	1.727955	0	1.64134	0
503	1.72693	0	1.640764	0
504	1.725921	0	1.640198	0
505	1.724928	0	1.63964	0
506	1.723951	0	1.639091	0
507	1.722989	0	1.63855	0
508	1.722042	0	1.638018	0
509	1.72111	0	1.637493	0
510	1.720192	0	1.636977	0
511	1.719288	0	1.636468	0
512	1.718397	0	1.635966	0
513	1.717519	0	1.635472	0
514	1.716655	0	1.634984	0
515	1.715803	0	1.634504	0
516	1.714963	0	1.63403	0
517	1.714135	0	1.633563	0
518	1.713319	0	1.633103	0
519	1.712515	0	1.632649	0
520	1.711722	0	1.6322	0
521	1.71094	0	1.631758	0
522	1.710168	0	1.631322	0
523	1.709407	0	1.630892	0
524	1.708657	0	1.630467	0
525	1.707917	0	1.630048	0
526	1.707186	0	1.629634	0
527	1.706465	0	1.629225	0
528	1.705754	0	1.628822	0
529	1.705052	0	1.628423	0
530	1.704359	0	1.62803	0
531	1.703675	0	1.627641	0
532	1.702999	0	1.627257	0
533	1.702332	0	1.626878	0
534	1.701674	0	1.626504	0
535	1.701024	0	1.626134	0
536	1.700382	0	1.625768	0
537	1.699748	0	1.625406	0
538	1.699121	0	1.625049	0
539	1.698502	0	1.624696	0
540	1.697891	0	1.624347	0
541	1.697287	0	1.624002	0
542	1.69669	0	1.62366	0
543	1.6961	0	1.623323	0
544	1.695517	0	1.622989	0
545	1.694941	0	1.622659	0
546	1.694372	0	1.622333	0
547	1.693809	0	1.62201	0
548	1.693253	0	1.621691	0
549	1.692703	0	1.621375	0
550	1.692159	0	1.621063	0
551	1.691621	0	1.620753	0
552	1.691089	0	1.620447	0
553	1.690563	0	1.620144	0
554	1.690043	0	1.619845	0
555	1.689529	0	1.619548	0
556	1.68902	0	1.619254	0
557	1.688517	0	1.618964	0
558	1.688019	0	1.618676	0
559	1.687526	0	1.618391	0
560	1.687039	0	1.618109	0
561	1.686557	0	1.61783	0
562	1.68608	0	1.617553	0
563	1.685608	0	1.617279	0
564	1.68514	0	1.617008	0
565	1.684678	0	1.616739	0
566	1.68422	0	1.616473	0
567	1.683767	0	1.616209	0
568	1.683319	0	1.615948	0
569	1.682875	0	1.615689	0
570	1.682436	0	1.615433	0
571	1.682001	0	1.615179	0
572	1.68157	0	1.614927	0
573	1.681143	0	1.614677	0
574	1.680721	0	1.61443	0
575	1.680303	0	1.614185	0
576	1.679889	0	1.613942	0
577	1.679478	0	1.613702	0
578	1.679072	0	1.613463	0
579	1.67867	0	1.613226	0
580	1.678271	0	1.612992	0
581	1.677877	0	1.612759	0
582	1.677486	0	1.612529	0
583	1.677098	0	1.6123	0
584	1.676714	0	1.612073	0
585	1.676334	0	1.611849	0
586	1.675957	0	1.611626	0
587	1.675584	0	1.611405	0
588	1.675214	0	1.611185	0
589	1.674847	0	1.610968	0
590	1.674484	0	1.610752	0
591	1.674124	0	1.610538	0
592	1.673767	0	1.610326	0
593	1.673414	0	1.610115	0
594	1.673063	0	1.609906	0
595	1.672716	0	1.609699	0
596	1.672372	0	1.609493	0
597	1.67203	0	1.609289	0
598	1.671692	0	1.609086	0
599	1.671356	0	1.608885	0
600	1.671024	0	1.608686	0
601	1.670694	0	1.608488	0
602	1.670367	0	1.608291	0
603	1.670043	0	1.608096	0
604	1.669721	0	1.607902	0
605	1.669402	0	1.60771	0
606	1.669086	0	1.607519	0
607	1.668773	0	1.60733	0
608	1.668462	0	1.607142	0
609	1.668154	0	1.606955	0
610	1.667848	0	1.60677	0
611	1.667544	0	1.606586	0
612	1.667243	0	1.606403	0
613	1.666945	0	1.606221	0
614	1.666649	0	1.606041	0
615	1.666355	0	1.605862	0
616	1.666064	0	1.605684	0
617	1.665775	0	1.605508	0
618	1.665488	0	1.605332	0
619	1.665204	0	1.605158	0
