Opt. Const. of PFO158 vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
432.600006	1.948944	0.203991	1.664862	0.033529
432.899994	1.952908	0.204961	1.664684	0.032667
433.200012	1.957361	0.205025	1.664447	0.031783
433.5	1.962052	0.20464	1.664182	0.030886
433.799988	1.966732	0.204257	1.663917	0.02999
434.100006	1.971534	0.203365	1.663622	0.02909
434.399994	1.976593	0.201454	1.663266	0.028184
434.700012	1.981642	0.199555	1.662911	0.027277
435	1.986681	0.197666	1.662556	0.02637
435.299988	1.991714	0.194082	1.662112	0.025478
435.600006	1.996742	0.190517	1.661667	0.024585
435.899994	2.001766	0.18697	1.661223	0.023692
436.200012	2.006432	0.182203	1.660725	0.022824
436.5	2.010926	0.17684	1.660199	0.021968
436.799988	2.015426	0.1715	1.659673	0.021112
437.100006	2.019464	0.165603	1.659127	0.020274
437.399994	2.022581	0.158566	1.658538	0.019473
437.700012	2.02572	0.15155	1.65795	0.018672
438	2.028879	0.144554	1.657362	0.01787
438.299988	2.030028	0.13661	1.656728	0.017126
438.600006	2.031208	0.128673	1.656094	0.016382
438.899994	2.032419	0.120743	1.65546	0.015637
439.200012	2.032209	0.112729	1.654803	0.014931
439.5	2.031306	0.104662	1.654134	0.014245
439.799988	2.030433	0.096586	1.653465	0.013557
440.100006	2.028913	0.08872	1.652787	0.012889
440.399994	2.026059	0.081273	1.652091	0.012261
440.700012	2.023227	0.073803	1.651394	0.011631
441	2.020419	0.066313	1.650698	0.011001
441.299988	2.016074	0.060207	1.649981	0.01043
441.600006	2.011737	0.054074	1.649264	0.009859
441.899994	2.007409	0.047915	1.648547	0.009287
442.200012	2.002672	0.042849	1.64782	0.008754
442.5	1.997725	0.03832	1.647088	0.008241
442.799988	1.992776	0.033769	1.646356	0.007727
443.100006	1.987817	0.029659	1.645621	0.007233
443.399994	1.982837	0.02646	1.64488	0.006779
443.700012	1.977849	0.023245	1.644139	0.006324
444	1.972854	0.020014	1.643397	0.005869
444.299988	1.968139	0.017853	1.642653	0.005473
444.600006	1.963415	0.015683	1.641909	0.005078
444.899994	1.958682	0.013501	1.641164	0.004682
445.200012	1.954242	0.011833	1.640422	0.004325
445.5	1.949945	0.010418	1.63968	0.003989
445.799988	1.945639	0.008998	1.638939	0.003652
446.100006	1.941486	0.007736	1.638201	0.003336
446.399994	1.937644	0.0068	1.63747	0.003059
446.700012	1.933796	0.00586	1.636739	0.002782
447	1.92994	0.004916	1.636009	0.002504
447.299988	1.926475	0.004303	1.635298	0.002283
447.600006	1.923004	0.003687	1.634588	0.002061
447.899994	1.919527	0.003069	1.633878	0.00184
448.200012	1.916285	0.002619	1.633185	0.001651
448.5	1.913158	0.002253	1.632501	0.001478
448.799988	1.910027	0.001886	1.631817	0.001306
449.100006	1.907003	0.001578	1.631143	0.001147
449.399994	1.904203	0.001389	1.63049	0.001017
449.700012	1.901398	0.001199	1.629836	0.000887
450	1.89859	0.001009	1.629182	0.000757
450.299988	1.896092	0.000924	1.628562	0.000664
450.600006	1.89359	0.000839	1.627942	0.00057
450.899994	1.891086	0.000753	1.627321	0.000477
451.200012	1.888754	0.000692	1.626724	0.000403
451.5	1.886508	0.000644	1.626139	0.00034
451.799988	1.884259	0.000596	1.625553	0.000276
452.100006	1.882074	0.000552	1.62498	0.000221
452.399994	1.880021	0.000516	1.62443	0.000182
452.700012	1.877965	0.00048	1.623881	0.000143
453	1.875907	0.000445	1.623331	0.000104
453.299988	1.87401	0.000419	1.622817	0.000083
453.600006	1.872111	0.000393	1.622303	0.000062
453.899994	1.87021	0.000367	1.621789	0.000041
454.200012	1.8684	0.000345	1.621298	0.000028
454.5	1.866634	0.000326	1.620818	0.00002
454.799988	1.864867	0.000307	1.620339	0.000011
455.100006	1.863138	0.000289	1.619871	0.000005
455.399994	1.861487	0.000274	1.619424	0.000003
455.700012	1.859835	0.000259	1.618977	0.000002
456	1.858181	0.000243	1.618531	0
456.299988	1.85663	0.000229	1.618112	0
456.600006	1.855078	0.000215	1.617694	0
456.899994	1.853524	0.000201	1.617275	0
457.200012	1.852029	0.000187	1.616872	0
457.5	1.850563	0.000174	1.616477	0
457.799988	1.849096	0.00016	1.616081	0
458.100006	1.847654	0.000147	1.615692	0
458.399994	1.846264	0.000135	1.615316	0
458.700012	1.844873	0.000123	1.61494	0
459	1.843481	0.000111	1.614564	0
459.299988	1.842159	0.0001	1.614206	0
459.600006	1.840836	0.000089	1.613847	0
459.899994	1.839513	0.000079	1.613489	0
460.200012	1.838231	0.000069	1.613141	0
460.5	1.83697	0.000061	1.612798	0
460.799988	1.835708	0.000052	1.612455	0
461.100006	1.834466	0.000044	1.612117	0
461.399994	1.833261	0.000038	1.611788	0
461.700012	1.832056	0.000032	1.611459	0
462	1.83085	0.000025	1.611131	0
462.299988	1.829699	0.000021	1.610815	0
462.600006	1.828547	0.000017	1.610499	0
462.899994	1.827394	0.000013	1.610183	0
463.200012	1.826274	0.00001	1.609876	0
463.5	1.82517	0.000008	1.609572	0
463.799988	1.824066	0.000006	1.609268	0
464.100006	1.822977	0.000004	1.608968	0
464.399994	1.821919	0.000003	1.608675	0
464.700012	1.820861	0.000002	1.608382	0
465	1.819801	0.000001	1.608089	0
465.299988	1.818786	0.000001	1.607807	0
465.600006	1.817769	0	1.607525	0
465.899994	1.816752	0	1.607242	0
466.200012	1.815762	0	1.606966	0
466.5	1.814785	0	1.606693	0
466.799988	1.813807	0	1.60642	0
467.100006	1.812841	0	1.60615	0
467.399994	1.8119	0	1.605886	0
467.700012	1.810959	0	1.605622	0
468	1.810017	0	1.605358	0
468.299988	1.809109	0	1.605102	0
468.600006	1.808202	0	1.604847	0
