Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
1321.905029	2.050629	0.00199
1325.328613	2.050573	0.00199
1328.752808	2.050519	0.00198
1332.177734	2.050464	0.00198
1335.603149	2.050410	0.00197
1339.029175	2.050357	0.00197
1342.455811	2.050303	0.00196
1345.883057	2.050251	0.00196
1349.310791	2.050198	0.00195
1352.739258	2.050146	0.00195
1356.168213	2.050095	0.00194
1359.597900	2.050044	0.00194
1363.028076	2.049993	0.00193
1366.458740	2.049942	0.00193
1369.890259	2.049892	0.00192
1373.322144	2.049843	0.00192
1376.754761	2.049793	0.00191
1380.187866	2.049744	0.00191
1383.621704	2.049696	0.00190
1387.056030	2.049647	0.00190
1390.490967	2.049599	0.00189
1393.926514	2.049552	0.00189
1397.362671	2.049505	0.00188
1400.799438	2.049458	0.00188
1404.236816	2.049411	0.00187
1407.674683	2.049365	0.00187
1411.113281	2.049319	0.00186
1414.552368	2.049274	0.00186
1417.992065	2.049229	0.00186
1421.432373	2.049184	0.00185
1424.873291	2.049139	0.00185
1428.314819	2.049095	0.00184
1431.756958	2.049051	0.00184
1435.199585	2.049008	0.00183
1438.642944	2.048964	0.00183
1442.086792	2.048921	0.00182
1445.531372	2.048879	0.00182
1448.976318	2.048836	0.00182
1452.422119	2.048794	0.00181
1455.868408	2.048752	0.00181
1459.315186	2.048711	0.00180
1462.762695	2.048670	0.00180
1466.210693	2.048629	0.00179
1469.659424	2.048588	0.00179
1473.108643	2.048548	0.00179
1476.558350	2.048508	0.00178
1480.008911	2.048468	0.00178
1483.459839	2.048428	0.00177
1486.911499	2.048389	0.00177
1490.363770	2.048350	0.00176
1493.816650	2.048311	0.00176
1497.270020	2.048273	0.00176
1500.723999	2.048235	0.00175
1504.178589	2.048197	0.00175
1507.633789	2.048159	0.00174
1511.089600	2.048122	0.00174
1514.546021	2.048084	0.00174
1518.002930	2.048048	0.00173
1521.460571	2.048011	0.00173
1524.918701	2.047975	0.00172
1528.377441	2.047938	0.00172
1531.836792	2.047902	0.00172
1535.296753	2.047867	0.00171
1538.757324	2.047831	0.00171
1542.218506	2.047796	0.00170
1545.680176	2.047761	0.00170
1549.142456	2.047726	0.00170
1552.605469	2.047692	0.00169
1556.068970	2.047657	0.00169
1559.533081	2.047623	0.00169
1562.997803	2.047590	0.00168
1566.463135	2.047556	0.00168
1569.928955	2.047523	0.00167
1573.395508	2.047489	0.00167
1576.862549	2.047456	0.00167
1580.330322	2.047423	0.00166
1583.798584	2.047391	0.00166
1587.267456	2.047359	0.00166
1590.736938	2.047326	0.00165
1594.207031	2.047294	0.00165
1597.677612	2.047263	0.00165
1601.148926	2.047231	0.00164
1604.620850	2.047200	0.00164
1608.093140	2.047169	0.00163
1611.566162	2.047138	0.00163
1615.039795	2.047107	0.00163
1618.514038	2.047076	0.00162
1621.989014	2.047046	0.00162
1625.464355	2.047016	0.00162
1628.940308	2.046986	0.00161
1632.416992	2.046956	0.00161
1635.894165	2.046927	0.00161
1639.371826	2.046897	0.00160
1642.850342	2.046868	0.00160
1646.329346	2.046839	0.00160
1649.808960	2.046810	0.00159
1653.289063	2.046781	0.00159
1656.769897	2.046753	0.00159
1660.251221	2.046725	0.00158
1663.733154	2.046696	0.00158
1667.215820	2.046668	0.00158
1670.698853	2.046641	0.00157
1674.182617	2.046613	0.00157
1677.666992	2.046585	0.00157
1681.151978	2.046558	0.00156
1684.637451	2.046531	0.00156
1688.123413	2.046504	0.00156
