Opt. Const. of AlignedPFO vs. nm,,,,,,
nm	"n	 Ex"	"k	 Ex"	"n	 Ey"	"k	 Ey"	"n	 Ez"	"k	 Ez"
338	1.477162	0.079862	1.085384	0.356479	1.438667	0.112361
339	1.476307	0.083769	1.078581	0.376388	1.438267	0.11766
340	1.475765	0.087613	1.07266	0.39718	1.438401	0.122689
341	1.475341	0.091332	1.067568	0.418801	1.438917	0.127293
342	1.474844	0.094866	1.063249	0.441205	1.439543	0.131392
343	1.474094	0.098164	1.059645	0.464341	1.440044	0.135111
344	1.473028	0.101299	1.056699	0.488167	1.440316	0.138608
345	1.471709	0.10447	1.054366	0.512637	1.440312	0.142029
346	1.470206	0.10788	1.052741	0.537694	1.440024	0.145512
347	1.468587	0.111722	1.052008	0.563259	1.439477	0.149187
348	1.466925	0.116168	1.052329	0.589242	1.438727	0.153177
349	1.465349	0.121196	1.053845	0.615545	1.437864	0.157596
350	1.464019	0.126655	1.056676	0.642065	1.437034	0.162547
351	1.463092	0.132396	1.060916	0.668698	1.436461	0.168039
352	1.462714	0.13827	1.066642	0.695343	1.436297	0.173957
353	1.46301	0.144139	1.073902	0.721888	1.436619	0.180186
354	1.463934	0.149956	1.082724	0.748225	1.437469	0.186616
355	1.465349	0.155723	1.093123	0.774256	1.438864	0.193143
356	1.467121	0.161448	1.105101	0.799898	1.440797	0.199667
357	1.469119	0.167137	1.118648	0.825076	1.443244	0.206098
358	1.471226	0.1728	1.13375	0.849732	1.446157	0.21235
359	1.473434	0.178438	1.150385	0.873815	1.449464	0.218347
360	1.475808	0.184047	1.168476	0.897271	1.453043	0.224056
361	1.478414	0.189619	1.187898	0.920033	1.456805	0.229522
